4286,120,14,1
4287,420,19,0
4288,240,19,1
4289,180,16,1
4290,120,8,0
4291,60,18,0
4292,540,7,1
4293,0,16,0
4294,480,3,1
4295,240,10,0
4296,240,4,1
4297,180,10,1
4298,180,7,1
4299,480,2,0
4300,180,4,0
4301,300,7,0
4302,60,14,1
4303,240,17,1
4304,480,11,1
4305,420,19,0
4306,360,8,0
4307,60,11,1
4308,480,3,1
4309,600,3,0
4310,480,1,1
4311,360,7,0
4312,360,10,0
4313,660,4,1
4314,60,18,1
4315,600,2,0
4316,300,9,1
4317,660,8,0
4318,480,6,0
4319,360,19,1
4320,420,11,0
4321,420,1,0
4322,0,16,1
4323,540,4,0
4324,60,9,1
4325,540,12,0
4326,360,3,1
4327,360,18,1
4328,0,2,0
4329,120,7,0
4330,120,6,1
4331,0,2,0
4332,540,15,0
4333,240,19,1
4334,120,11,1
4335,120,9,0
4336,600,7,0
4337,420,6,0
4338,0,10,0
4339,420,9,0
4340,60,13,1
4341,360,7,1
4342,480,11,2
4343,60,12,2
4344,660,16,2
4345,480,5,4
4346,0,18,4
4347,300,1,4
4348,660,14,4
4349,180,15,4
4350,420,8,4
4350,420,1,5
